Hospital Name,Minimum Stock,Back up,Extra
Select,,,
"SJ Creations, Inc.",2160,341,839
"Pacific Pharma, Inc.",2429,96,572
Cardinal Health,2990,156,589
Cantrell Drug Company,1181,402,639
"Aphena Pharma Solutions - Tennessee, Inc.",2218,224,776
"X-GEN Pharmaceuticals, Inc.",1713,91,636
"Stephen L. LaFrance Pharmacy, Inc.",2549,340,871
"Golden State Medical Supply, Inc.",2375,316,865
Zydus Pharmaceuticals (USA) Inc.,1289,93,751
Cantrell Drug Company,2312,167,904
Natural Health Supply,2589,458,561
"Genesis Pharmaceutical, Inc.",2711,126,908
Parfums Christian Dior,2574,80,644
Chain Drug Marketing Association,1698,223,867
"Par Pharmaceutical, Inc",2087,206,800
"Western Family Foods, Inc.",2009,112,782
"NATURE REPUBLIC CO., LTD.",2943,81,567
"Laser Pharmaceuticals, LLC",1871,382,516
Cardinal Health,1326,403,558
"Professional Disposables International, Inc.",1533,374,934
"Dispensing Solutions, Inc.",1159,210,828
"Mallinckrodt, Inc.",1576,19,953
Parfums Christian Dior,2254,211,757
Siscom de Argentina SA,2458,256,864
CVS Pharmacy,2254,319,796
"Roxane Laboratories, Inc",1790,223,997
Novartis Pharmaceuticals Corporation,2730,355,854
"Maximum Results Solution, Inc.",1484,387,523
"Preferred Pharmacetucals, Inc.",2127,82,588
"Nelco Laboratories, Inc.",1679,165,998
"Roxane Laboratories, Inc",2765,485,822
Rimmel Inc.,2264,122,882
"E.R. Squibb & Sons, L.L.C.",1610,258,800
"K&J.C Co., Ltd",1319,288,715
Supervalu Inc,2350,318,589
L'Oreal USA Products Inc,1457,27,856
"Nexgen Pharma, Inc.",1207,2,641
Jafra Cosmetics International Inc,2037,406,612
"Chattem, Inc.",2389,134,717
Uriel Pharmacy Inc.,1484,293,883
"Sun Pharmaceutical Industries, Inc.",1433,493,830
REMEDYREPACK INC.,2330,402,902
"BioComp Pharma, Inc.",2415,133,509
Zydus Pharmaceuticals (USA) Inc.,1331,204,631
"Prestige Brands Holdings, Inc.",1971,190,899
WOCKHARDT LIMITED,1332,257,940
Aurobindo Pharma Limited,1932,427,855
LAURA GELLER MAKE UP INC.,2510,238,568
"KEDRION BIOPHARMA, INC",1039,457,645
Medi-Physics Inc. dba GE Healthcare,2457,488,662
Cardinal Health,2829,195,502
Cardinal Health,1664,31,793
"Aldi, Inc",2263,452,664
"Braintree Laboratories, Inc.",1681,445,597
"Physicians Total Care, Inc.",2546,21,755
Apotheca Company,2819,104,730
Premier Value,1670,38,501
"ALK-Abello, Inc.",2306,218,697
Freds Inc,1675,335,605
"Sarati International, Inc.",2144,176,768
HOMEOLAB USA INC,2795,258,738
Performance Health LLC,1818,66,860
E T Inc.,1704,190,659
REMEDYREPACK INC.,2975,121,536
Rebel Distributors Corp,1327,137,531
DZA BRANDS LLC,1417,433,619
Phillips Company,2793,304,702
"Rugby Laboratories, Inc.",1638,102,712
Jubilant HollisterStier LLC,1169,332,637
Supervalu Inc,1630,209,998
Neutrogena Corporation,2951,159,502
"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",2893,301,567
Similasan Corporation,2293,196,872
"Fenwal, Inc.",1664,432,501
Hannaford Brothers Company,1659,156,603
Harmon Stores Inc.,1865,75,594
"Physicians Total Care, Inc.",1759,38,823
Accord Healthcare Inc.,1906,379,873
Wockhardt Limited,1564,149,761
SHISEIDO AMERICA INC.,1498,341,538
Energizer Personal Care LLC,1019,155,626
Cardinal Health,2553,100,566
"Alva-Amco Pharmacal Companies, Inc.",2301,194,868
"Robinson Pharma, Inc.",1197,321,668
Gurwitch Products,2646,220,551
"Physicians Total Care, Inc.",1081,294,666
Heritage Pharmaceuticals Inc.,2580,178,625
Colorpink R&D Inc.,2028,126,782
Eisai Inc.,2900,486,686
Poly Pharmaceuticals,1658,274,708
"Apotheca, Inc.",2183,358,548
"ALK-Abello, Inc.",1605,305,980
REMEDYREPACK INC.,1911,32,532
Bryant Ranch Prepack,2951,415,781
"Deb USA, Inc.",1116,437,601
Roerig,2749,332,548
AMOREPACIFIC,1172,388,971
Cascades Tissue Group Inc.,1358,338,912
Delta Brands Inc,2376,109,521
Apotex Corp.,1048,490,807
McKesson Packaging Services a business unit of McKesson Corporation,1312,429,729
PharmaDerm A division of Fougera Pharmaceuticals Inc.,2480,10,704
Lake Erie Medical DBA Quality Care Products LLC,1688,346,531
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2926,231,538
Merck Sharp & Dohme Corp.,1381,439,997
Cadinal Health,1262,113,579
"Antigen Laboratories, Inc.",2813,118,671
"Nan Mei Pharmaceutical Co., Ltd.",2198,377,527
Dr Reddys Laboratories Inc,1392,182,538
Target Corp.,1320,106,988
Macleods Pharmaceuticals Limited,2737,447,972
STAT RX USA LLC,1720,23,825
Procter & Gamble Manufacturing Co.,2372,149,862
Washington Homeopathic Products,1874,482,991
CVS Pharmacy,1855,386,631
L Perrigo Company,2531,165,742
Torrent Pharmaceuticals Limited,2950,363,891
"Sato Pharmaceutical Co., Ltd.",1226,18,539
GE Healthcare Inc.,1824,291,722
"International Labs, Inc.",2659,440,835
REMEDYREPACK INC.,2212,446,668
Ventura Corporation LTD,1386,291,905
"Physicians Total Care, Inc.",2535,229,691
H-E-B,1302,95,652
Medtech Products Inc.,1181,5,873
TIME CAP LABS,2247,208,873
Cardinal Health,1761,25,544
"Blacksmith Brands, Inc.",1942,363,505
Dr Reddys Laboratories Inc,1207,18,750
"UDL Laboratories, Inc.",1751,358,912
"Libertas Pharma, Inc.",2685,496,595
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,1967,438,804
Sagent Pharmaceuticals,2633,389,516
Kroger,2115,292,858
Care One (American Sales Company),1012,65,539
HOMEOLAB USA INC,1687,464,901
PHARMAZEUTISCHE FABRIK DR. RECKEWEG & CO,1596,396,817
KAISER FOUNDATION HOSPITALS,2406,445,599
THE KROGER CO,2196,495,991
West-ward Pharmaceutical Corp,2129,408,716
Walgreen Company,1846,468,815
Topco Associates LLC,1081,150,992
Piramal Critical Care Inc.,2527,232,994
Ventura Corporation LTD.,2908,179,508
"Nelco Laboratories, Inc.",2950,489,589
Sun Pharmaceutical Industries Limited,2175,148,974
Apotheca Company,2502,211,547
Kroger Company,2305,272,620
Wockhardt Limited,2811,441,643
LaCorium Health International Pty Ltd,1936,414,888
Jaymac Pharmaceuticals LLC,2654,422,939
"Holston Gases, Inc",2737,114,700
Mylan Institutional Inc.,1689,422,984
"CodaDose, Inc.",1075,190,704
Green Cross Corp,2105,463,953
"Hospira, Inc.",1349,277,968
Kmart Corporation,1581,146,891
REMEDYREPACK INC.,1871,471,578
Genlabs Corporation,2054,269,637
"Actavis Pharma, Inc.",1058,24,674
"Nelco Laboratories, Inc.",2456,494,639
"Kareway Product, Inc.",1638,152,834
"Dispensing Solutions, Inc.",2693,52,803
Eight and Company,1364,452,804
Major Pharmaceuticals,2239,484,807
"Daeduck Lab Co., Ltd",1930,473,939
"General Injectables & Vaccines, Inc",2936,32,860
VIATREXX BIO INCORPORATED,1892,307,877
Bryant Ranch Prepack,2018,126,599
Apotheca Company,1907,12,713
"Nelco Laboratories, Inc.",2841,238,572
"Deb USA, Inc.",2402,407,631
"Preferred Pharmaceuticals, Inc",1089,431,582
Spear Dermatology Products Inc,2641,60,623
"Bolero Home Decor, Inc.",1803,303,770
"PD-Rx Pharmaceuticals, Inc.",2104,277,721
Supervalu Inc,1082,217,518
Bryant Ranch Prepack,2099,264,891
Gadal Laboratories Inc,1176,497,571
Cardinal Health,1553,405,778
"Hospira, Inc.",2072,386,672
"Roxane Laboratories, Inc",2401,344,715
"Vectair Systems, Inc.",2192,231,808
Cardinal Health,1483,208,531
"Nova Homeopathic Therapeutics, Inc.",2738,394,910
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,1577,325,540
"Physicians Total Care, Inc.",1101,226,585
Rebel Distributors Corp,2445,185,676
"GUANGZHOU BAIYUNSHAN PHARMACEUTICAL CO., LTD. BAIYUNSHAN HEJIGONG PHARMACEUTICAL FACTORY",2768,215,927
Forces of Nature,1841,6,500
SUN PHARMACEUTICAL INDUSTRIES LIMITED,1776,483,627
